Episode,Reward,Length,Time,R,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates
1,39.9998454,207,207,60.4585030681366,8,246,2048,56.5555555555556,-10.4015465,
2,99.23562,158,365,99.4969160755586,17,236,4096,60.9193548387097,-11.105967,10
3,-29.198772,222,587,14.8542339614104,26,231,6144,77.1621621621622,-11.298023,20
4,-26.73371,204,791,16.4787946106924,35,230,8192,91.8539325842697,-11.99353,30
5,-20.82447,157,948,20.3731870321259,44,229,10240,99.0102040816327,-12.414914,40
6,-23.153145,187,1135,18.8385101071776,53,228,12288,119.21,-13.858474,50
7,99.21561,204,1339,99.4837287972702,62,228,14336,135.38,-15.11406,60
8,-26.623238,208,1547,16.5515994586222,71,228,16384,154.9,-16.16212,70
9,-20.661953,173,1720,20.480291325259,80,227,18432,157.4,-16.212347,80
10,-25.324541,200,1920,17.4074854531898,89,227,20480,186.76,-19.0251,90
11,-13.020051,106,2026,25.5165676034499,98,227,22528,207.7,-22.04798,100
12,98.99124,165,2191,99.3358612495658,108,227,24576,224.78,-23.139717,110
13,-26.990532,204,2395,16.3095400787294,117,227,26624,249.81,-25.097586,120
14,-22.159555,176,2571,19.4933200939122,126,227,28672,254.01,-25.256382,130
15,99.18551,118,2689,99.4638918619139,135,227,30720,284.18,-28.40911,140
16,-25.771938,196,2885,17.1126354409763,144,227,32768,302.87,-29.314007,150
17,-21.692526,173,3058,19.8011082694119,153,226,34816,318.81,-30.991201,160
18,-23.073452,181,3239,18.8910305353953,162,226,36864,332.32,-31.664087,170
19,-25.68267,198,3437,17.1714661235475,171,226,38912,356.82,-35.713528,180
20,-23.212872,186,3623,18.7991479597348,180,226,40960,375.44,-37.49547,190
21,99.151531,166,3789,99.4414985321307,189,226,43008,400.07,-39.324963,200
22,-18.338673,164,3953,22.0114127596343,198,226,45056,415.3,-39.861607,210
23,99.15156,187,4140,99.4415176441282,207,226,47104,432.01,-40.608803,220
24,-13.861944,120,4260,24.9617311576705,216,226,49152,435.78,-41.52842,230
25,-15.998276,143,4403,23.5538148857868,226,226,51200,442.13,-41.766167,240
26,-21.696644,176,4579,19.7983943657642,235,226,53248,453.92,-42.16806,250
27,-24.53172,207,4786,17.9299817630288,244,226,55296,459.13,-42.277042,260
28,98.989815,177,4963,99.3349221255498,253,226,57344,454.81,-40.821495,270
29,99.56301,31,4994,99.7126773468648,262,226,59392,425.46,-38.59083,280
30,-27.639225,205,5199,15.882029078493,271,226,61440,412.57,-36.181675,290
31,-13.469496,109,5308,25.220367888791,280,226,63488,361.78,-29.24408,300
32,-24.50549,187,5495,17.9472682352679,289,226,65536,339.08,-26.058647,310
33,-13.836702,119,5614,24.9783665039251,298,226,67584,316.25,-23.828314,320
34,-13.993036,122,5736,24.87533702047,307,226,69632,263.79,-16.10848,330
35,-14.629784,130,5866,24.4556981861084,316,226,71680,259.22,-15.825976,340
36,-12.732174,77,5943,25.7062884486187,325,226,73728,252.67,-15.252494,350
37,-17.612381,158,6101,22.4900641700606,334,226,75776,259.22,-15.015852,360
38,-23.69929,180,6281,18.4785817663074,343,226,77824,256.72,-14.86857,370
39,-14.831913,133,6414,24.3224882224325,352,226,79872,261.83,-14.714034,380
40,-20.138412,161,6575,20.8253228526144,361,226,81920,275.69,-15.410701,390
41,99.14515,196,6771,99.437293233642,370,226,83968,285.54,-15.738294,400
42,99.03219591,159,6930,99.3628526030253,379,226,86016,289.47,-15.791516,410
43,-13.748766,115,7045,25.0363193526791,388,226,88064,294.84,-15.005903,420
44,-26.048326,210,7255,16.9304862419973,397,226,90112,288.99,-15.269602,430
45,-12.372942,69,7324,25.9430346932011,406,226,92160,290.96,-15.4019985,440
46,99.4787444,176,7500,99.6571434179623,415,226,94208,302.87,-17.268017,450
47,-51.738163,58,7558,0,424,226,96256,299.31,-16.050386,460
48,-13.644868,112,7670,25.1047917084816,433,226,98304,301.92,-15.79724,470
49,-25.027252,194,7864,17.6034091301052,442,226,100352,301.21,-14.733404,480
50,-16.014175,143,8007,23.5433368979054,452,226,102400,292.62,-15.860017,490
51,-26.881245,206,8213,16.3815639708985,461,226,104448,292.49,-15.449945,500
52,-25.314476,205,8418,17.4141186343978,470,226,106496,287.18,-14.479511,510
53,-24.117416,179,8597,18.203022349935,479,226,108544,267.43,-13.8913965,520
54,-22.095196,176,8773,19.535734888683,489,226,110592,264.85,-13.778522,530
55,-17.96249,158,8931,22.259330296284,498,226,112640,263.21,-13.813177,540
56,98.1415137,179,9110,98.7758623896426,507,226,114688,265.52,-15.004778,550
57,-20.731384,174,9284,20.4345339080256,516,225,116736,269.27,-13.569396,560
58,-20.195713,168,9452,20.7875595226193,525,225,118784,269.78,-13.481953,570
59,-22.669071,179,9631,19.1575315239779,535,225,120832,268.41,-11.865501,580
60,-26.178932,207,9838,16.8444123955138,544,225,122880,275.54,-13.2138405,590
61,-22.203728,175,10013,19.4642085674838,553,225,124928,273.73,-13.192033,600
62,-22.940987,180,10193,18.9783295268232,562,225,126976,275.78,-13.099649,610
63,98.666835,169,10362,99.1220671959354,571,225,129024,285.47,-12.607813,620
64,-24.615648,198,10560,17.8746703241389,581,225,131072,293,-11.928871,630
65,-17.75379,154,10714,22.396870774984,590,225,133120,293.5,-8.815289,640
66,-15.775566,141,10855,23.7005884363919,600,225,135168,302.13,-6.123151,650
67,-13.403188,80,10935,25.2640671416019,609,225,137216,300.88,-5.1215,660
68,-13.777009,116,11051,25.0177062441984,618,225,139264,310,-5.1241551,670
69,-23.293182,182,11233,18.7462209072939,627,225,141312,318.73,-7.786548,680
70,-26.73802,207,11440,16.4759541724404,637,224,143360,312.66,-8.261813,690
71,-14.323864,123,11563,24.6573099889062,646,225,145408,324.31,-10.126567,700
72,99.13836,44,11607,99.432818390085,655,225,147456,337.71,-10.999124,710
73,-12.665573,103,11710,25.750180798508,664,225,149504,333.13,-12.12454151,720
74,-25.887117,202,11912,17.0367285181388,673,225,151552,326.66,-14.424003,730
75,-12.642506,78,11990,25.7653827449487,682,225,153600,325.98,-15.176186,740
76,99.55591241,209,12199,99.7079997909174,691,225,155648,326.39,-14.335108,750
77,-16.00689,144,12343,23.5481379634892,700,225,157696,328,-14.82972,760
78,-25.547977,197,12540,17.2602334436123,709,225,159744,331.3,-14.133248,770
79,-26.3922,201,12741,16.7038614476873,718,225,161792,321.98,-15.128101,780
80,-21.516453,176,12917,19.9171464328338,727,225,163840,327.75,-13.334063,790
81,-23.119995,176,13093,18.8603570974454,737,224,165888,328.9,-14.773947,800
82,-16.800406,144,13237,23.025183624744,746,224,167936,319.77,-12.892673,810
83,-22.136776,186,13423,19.5083322384465,755,224,169984,325.96,-13.134075,820
84,-26.779495,208,13631,16.4486207208157,765,224,172032,318.38,-11.016265,830
85,-25.854532,201,13832,17.0582031539723,775,224,174080,318.06,-10.255442,840
86,-26.855764,206,14038,16.398356826374,784,224,176128,313.97,-7.048394,850
87,-20.110506,171,14209,20.8437138665033,793,224,178176,303.68,-4.387636,860
88,-20.766079,161,14370,20.411668709614,802,224,180224,310.09,0.1455165,870
89,98.5651,66,14436,99.0550203315341,811,224,182272,320.11,0.988692,880
90,99.5459156,163,14599,99.7014115492649,820,224,184320,326.15,1.6526,890
91,-28.329964,207,14806,15.426808317991,829,224,186368,322.8,3.11431256,900
92,99.2894561,160,14966,99.5323959172709,838,224,188416,321.44,3.151515,910
93,-13.767595,115,15081,25.0239103940139,847,224,190464,306.24,2.55642,920
94,-22.544178,181,15262,19.23984030695,856,224,192512,305.82,4.1533215,930
95,99.516511,202,15464,99.6820329064284,866,224,194560,305.41,4.662312,940
96,99.894,110,15574,99.9308111420009,875,224,196608,311.69,4.21312,950
97,-15.992062,141,15715,23.5579101255311,884,224,198656,299,4.123415,960
98,99.6551,149,15864,99.7733678245048,893,224,200704,292.92,4.83452,970
99,-22.892817,179,16043,19.0100752137373,901,224,202752,300,4.12415,980
100,99.9989852,201,16244,100,910,224,204800,297.13,6.1244141,990
